diex,diey,wafer,lot,Temperature,VDDD,I_pad_fb,DAC Counter,DAC tYpe
14,48,2,4719575,-45,5,-1.33E-08,0,PDAC
14,48,2,4719575,-45,8,-1.04E-07,1,PDAC
14,48,2,4719575,-45,12,-1.91E-07,2,PDAC
14,48,2,4719575,-45,15,-2.81E-07,3,PDAC
14,48,2,4719575,-45,20,-3.80E-07,4,PDAC
14,48,2,4719575,-45,5,-4.70E-07,5,PDAC
14,48,2,4719575,-45,5,-5.58E-07,6,PDAC
14,48,2,4719575,-45,5,-6.48E-07,7,PDAC
14,48,2,4719575,-45,5,-7.44E-07,8,PDAC
14,48,2,4719575,-45,5,-8.34E-07,9,PDAC
14,48,2,4719575,-45,5,-9.22E-07,10,PDAC
14,48,2,4719575,-45,5,-1.01E-06,11,PDAC
14,48,2,4719575,-45,5,-1.10E-06,12,PDAC
14,48,2,4719575,-45,5,-1.19E-06,13,PDAC
14,48,2,4719575,-45,5,-1.28E-06,14,PDAC
14,48,2,4719575,-45,5,-1.37E-06,15,PDAC
14,48,2,4719575,-45,5,-1.47E-06,16,PDAC
14,48,2,4719575,-45,5,-1.56E-06,17,PDAC
14,48,2,4719575,-45,5,-1.65E-06,18,PDAC
14,48,2,4719575,-45,5,-1.74E-06,19,PDAC
14,48,2,4719575,-45,5,-1.83E-06,20,PDAC
14,48,2,4719575,-45,5,-1.92E-06,21,PDAC
14,48,2,4719575,-45,5,-2.01E-06,22,PDAC
14,48,2,4719575,-45,5,-2.10E-06,23,PDAC
14,48,2,4719575,-45,5,-2.19E-06,24,PDAC
14,48,2,4719575,-45,5,-2.28E-06,25,PDAC
14,48,2,4719575,-45,5,-2.37E-06,26,PDAC
14,48,2,4719575,-45,5,-2.46E-06,27,PDAC
14,48,2,4719575,-45,5,-2.55E-06,28,PDAC
14,48,2,4719575,-45,5,-2.64E-06,29,PDAC
14,48,2,4719575,-45,5,-2.73E-06,30,PDAC
14,48,2,4719575,-45,5,-2.82E-06,31,PDAC
14,48,2,4719575,-45,5,-2.92E-06,32,PDAC
14,48,2,4719575,-45,5,-3.01E-06,33,PDAC
14,48,2,4719575,-45,5,-3.10E-06,34,PDAC
14,48,2,4719575,-45,5,-3.19E-06,35,PDAC
14,48,2,4719575,-45,5,-3.29E-06,36,PDAC
14,48,2,4719575,-45,5,-3.38E-06,37,PDAC
14,48,2,4719575,-45,5,-3.47E-06,38,PDAC
14,48,2,4719575,-45,5,-3.56E-06,39,PDAC
14,48,2,4719575,-45,5,-3.66E-06,40,PDAC
14,48,2,4719575,-45,5,-3.75E-06,41,PDAC
14,48,2,4719575,-45,5,-3.83E-06,42,PDAC
14,48,2,4719575,-45,5,-3.92E-06,43,PDAC
14,48,2,4719575,-45,5,-4.02E-06,44,PDAC
14,48,2,4719575,-45,5,-4.11E-06,45,PDAC
14,48,2,4719575,-45,5,-4.20E-06,46,PDAC
14,48,2,4719575,-45,5,-4.29E-06,47,PDAC
14,48,2,4719575,-45,5,-4.39E-06,48,PDAC
14,48,2,4719575,-45,5,-4.48E-06,49,PDAC
14,48,2,4719575,-45,5,-4.57E-06,50,PDAC
14,48,2,4719575,-45,5,-4.66E-06,51,PDAC
14,48,2,4719575,-45,5,-4.76E-06,52,PDAC
14,48,2,4719575,-45,5,-4.85E-06,53,PDAC
14,48,2,4719575,-45,5,-4.93E-06,54,PDAC
14,48,2,4719575,-45,5,-5.02E-06,55,PDAC
14,48,2,4719575,-45,5,-5.12E-06,56,PDAC
14,48,2,4719575,-45,5,-5.21E-06,57,PDAC
14,48,2,4719575,-45,5,-5.30E-06,58,PDAC
14,48,2,4719575,-45,5,-5.39E-06,59,PDAC
14,48,2,4719575,-45,5,-5.49E-06,60,PDAC
14,48,2,4719575,-45,5,-5.58E-06,61,PDAC
14,48,2,4719575,-45,5,-5.66E-06,62,PDAC
14,48,2,4719575,-45,5,-5.75E-06,63,PDAC
14,48,2,4719575,-45,5,-5.86E-06,64,PDAC
14,48,2,4719575,-45,5,-5.95E-06,65,PDAC
14,48,2,4719575,-45,5,-6.04E-06,66,PDAC
14,48,2,4719575,-45,5,-6.13E-06,67,PDAC
14,48,2,4719575,-45,5,-6.23E-06,68,PDAC
14,48,2,4719575,-45,5,-6.32E-06,69,PDAC
14,48,2,4719575,-45,5,-6.41E-06,70,PDAC
14,48,2,4719575,-45,5,-6.50E-06,71,PDAC
14,48,2,4719575,-45,5,-6.60E-06,72,PDAC
14,48,2,4719575,-45,5,-6.69E-06,73,PDAC
14,48,2,4719575,-45,5,-6.78E-06,74,PDAC
14,48,2,4719575,-45,5,-6.87E-06,75,PDAC
14,48,2,4719575,-45,5,-6.97E-06,76,PDAC
14,48,2,4719575,-45,5,-7.06E-06,77,PDAC
14,48,2,4719575,-45,5,-7.15E-06,78,PDAC
14,48,2,4719575,-45,5,-7.24E-06,79,PDAC
14,48,2,4719575,-45,5,-7.34E-06,80,PDAC
14,48,2,4719575,-45,5,-7.44E-06,81,PDAC
14,48,2,4719575,-45,5,-7.52E-06,82,PDAC
14,48,2,4719575,-45,5,-7.61E-06,83,PDAC
14,48,2,4719575,-45,5,-7.72E-06,84,PDAC
14,48,2,4719575,-45,5,-7.81E-06,85,PDAC
14,48,2,4719575,-45,5,-7.89E-06,86,PDAC
14,48,2,4719575,-45,5,-7.99E-06,87,PDAC
14,48,2,4719575,-45,5,-8.09E-06,88,PDAC
14,48,2,4719575,-45,5,-8.18E-06,89,PDAC
14,48,2,4719575,-45,5,-8.27E-06,90,PDAC
14,48,2,4719575,-45,5,-8.36E-06,91,PDAC
14,48,2,4719575,-45,5,-8.46E-06,92,PDAC
14,48,2,4719575,-45,5,-8.55E-06,93,PDAC
14,48,2,4719575,-45,5,-8.64E-06,94,PDAC
14,48,2,4719575,-45,5,-8.73E-06,95,PDAC
14,48,2,4719575,-45,5,-8.82E-06,96,PDAC
14,48,2,4719575,-45,5,-8.91E-06,97,PDAC
14,48,2,4719575,-45,5,-9.00E-06,98,PDAC
14,48,2,4719575,-45,5,-9.09E-06,99,PDAC
14,48,2,4719575,-45,5,-9.18E-06,100,PDAC
14,48,2,4719575,-45,5,-9.27E-06,101,PDAC
14,48,2,4719575,-45,5,-9.36E-06,102,PDAC
14,48,2,4719575,-45,5,-9.45E-06,103,PDAC
14,48,2,4719575,-45,5,-9.54E-06,104,PDAC
14,48,2,4719575,-45,5,-9.63E-06,105,PDAC
14,48,2,4719575,-45,5,-9.72E-06,106,PDAC
14,48,2,4719575,-45,5,-9.81E-06,107,PDAC
14,48,2,4719575,-45,5,-9.90E-06,108,PDAC
14,48,2,4719575,-45,5,-9.99E-06,109,PDAC
14,48,2,4719575,-45,5,-1.01E-05,110,PDAC
14,48,2,4719575,-45,5,-1.02E-05,111,PDAC
14,48,2,4719575,-45,5,-1.03E-05,112,PDAC
14,48,2,4719575,-45,5,-1.03E-05,113,PDAC
14,48,2,4719575,-45,5,-1.04E-05,114,PDAC
14,48,2,4719575,-45,5,-1.05E-05,115,PDAC
14,48,2,4719575,-45,5,-1.06E-05,116,PDAC
14,48,2,4719575,-45,5,-1.07E-05,117,PDAC
14,48,2,4719575,-45,5,-1.08E-05,118,PDAC
14,48,2,4719575,-45,5,-1.09E-05,119,PDAC
14,48,2,4719575,-45,5,-1.10E-05,120,PDAC
14,48,2,4719575,-45,5,-1.11E-05,121,PDAC
14,48,2,4719575,-45,5,-1.12E-05,122,PDAC
14,48,2,4719575,-45,5,-1.12E-05,123,PDAC
14,48,2,4719575,-45,5,-1.13E-05,124,PDAC
14,48,2,4719575,-45,5,-1.14E-05,125,PDAC
14,48,2,4719575,-45,5,-1.15E-05,126,PDAC
14,48,2,4719575,-45,5,-1.16E-05,127,PDAC
